full_name,country,height,plays,current_rank,gender
"Cazaux, Arthur",France,1.83,right-handed,86,
"Lestienne, Constant",France,1.8,right-handed,99,
"Ćorić, Borna",Croatia,1.88,right-handed,31,
"Mmoh, Michael",USA,1.88,right-handed,122,
"Paire, Benoit",France,1.96,right-handed,110,
"Shapovalov, Denis",Canada,1.85,left-handed,120,
"Shevchenko, Alexander",Kazakhstan,1.85,right-handed,47,
"Shevchenko, Alexander",Kazakhstan,1.85,right-handed,47,
"Rune, Holger",Denmark,1.88,right-handed,7,
"Saville, Luke",Australia,1.88,right-handed,295,
"Uchiyama, Yasutaka",Japan,1.83,right-handed,248,
"Moriya, Hiroki",Japan,1.68,right-handed,350,
"Jasika, Omar",Australia,1.83,left-handed,225,
"Imai, Shintaro",Japan,1.78,right-handed,644,
"Saville, Luke",Australia,1.88,right-handed,295,
"Hijikata, Rinky",Australia,1.78,right-handed,79,
"Noguchi, Rio",Japan,1.68,right-handed,333,
"Vandecasteele, Quinn",USA,1.91,,566,
"Duckworth, James",Australia,1.83,right-handed,108,
"Quinn, Ethan",USA,1.91,,287,
"Sandgren, Tennys",USA,1.88,right-handed,270,
"Rubin, Noah",USA,1.75,right-handed,976,
"Kwiatkowski, Thai-Son",USA,1.88,right-handed,291,
"Cassone, Murphy",USA,1.88,,850,
"Nava, Emilio",USA,1.85,right-handed,134,
"Krajinović, Filip",Serbia,1.85,right-handed,417,
"Naw, Hazem",Syria,1.83,right-handed,337,
"Jorda Sanchis, David",Spain,1.98,right-handed,326,
"Kolar, Zdenek",Czech Republic,1.83,right-handed,235,
"Rodionov, Jurij",Austria,1.91,left-handed,91,
"Travaglia, Stefano",Italy,1.85,right-handed,188,
"Kukushkin, Mikhail",Kazakhstan,1.83,right-handed,165,
"Blockx, Alexander",Belgium,1.91,,313,
"Travaglia, Stefano",Italy,1.85,right-handed,188,
"Alves, Mateus",Brazil,1.93,right-handed,389,
"Stodder, Timo",Germany,1.8,,329,
"Casanova, Hernan",Argentina,1.78,right-handed,366,
"Pucinelli de Almeida, Matheus",Brazil,1.83,right-handed,303,
"Coria, Federico",Argentina,1.8,right-handed,88,
"Cecchinato, Marco",Italy,1.85,right-handed,198,
"Dutra da Silva, Daniel",Brazil,1.73,left-handed,517,
"Campana Lee, Gerard",South Korea,1.8,,364,
"Fruhvirtova, Linda",Czech Republic,1.72,right-handed,137,
"Rodionova, Arina",Australia,1.68,right-handed,99,
"Volynets, Katie",USA,1.7,right-handed,112,
"Schmiedlova, Anna-Karolina",Slovakia,1.76,right-handed,76,
"Golubic, Viktorija",Switzerland,1.69,right-handed,71,
"Niemeier, Jule",Germany,1.78,right-handed,126,
"Potapova, Anastasia",Russia,1.75,right-handed,31,
"Yastremska, Dayana",Ukraine,1.75,right-handed,33,
"Siniakova, Katerina",Czech Republic,1.74,right-handed,43,
"Pavlyuchenkova, Anastasia",Russia,1.76,right-handed,25,
"Mertens, Elise",Belgium,1.79,right-handed,27,
"Ostapenko, Jelena",Latvia,1.77,right-handed,10,
"Shnaider, Diana",Russia,,left-handed,73,
"Wang, Xinyu",China,1.82,right-handed,41,
"Wang, Yafan",China,1.7,right-handed,69,
"Rodionova, Arina",Australia,1.68,right-handed,99,
