,match_id,full_name_home,current_rank_home,full_name_away,current_rank_away,winner_code,Winner
0,11998445,"Cazaux, Arthur",86.0,"Auger-Aliassime, Felix",30.0,2.0,"Auger-Aliassime, Felix"
1,11998446,"Lestienne, Constant",99.0,Flavio Cobolli,69.0,2.0,Flavio Cobolli
2,11998447,"Ćorić, Borna",31.0,"Martinez, Pedro",101.0,1.0,"Ćorić, Borna"
3,11998448,"Mmoh, Michael",122.0,"Muller, Alexandre",81.0,1.0,"Mmoh, Michael"
4,11998449,"Paire, Benoit",110.0,"Mayot, Harold",132.0,2.0,"Mayot, Harold"
5,11998450,"Shapovalov, Denis",120.0,"Bublik, Alexander",23.0,2.0,"Bublik, Alexander"
6,11998451,"Shevchenko, Alexander",47.0,"Barrere, Gregoire",124.0,1.0,"Shevchenko, Alexander"
7,11998452,"Ćorić, Borna",31.0,Flavio Cobolli,69.0,1.0,"Ćorić, Borna"
8,11998453,"Mayot, Harold",132.0,"Auger-Aliassime, Felix",30.0,2.0,"Auger-Aliassime, Felix"
9,11998453,"Mayot, Harold",132.0,"Auger-Aliassime, Felix",29.0,2.0,"Auger-Aliassime, Felix"
10,11998454,"Rune, Holger",7.0,"Mmoh, Michael",122.0,1.0,"Rune, Holger"
11,11998455,"Ćorić, Borna",31.0,"Bublik, Alexander",21.0,2.0,"Bublik, Alexander"
12,11998456,"Shevchenko, Alexander",47.0,"Bublik, Alexander",23.0,2.0,"Bublik, Alexander"
13,11998456,"Shevchenko, Alexander",47.0,"Bublik, Alexander",21.0,2.0,"Bublik, Alexander"
14,11998456,"Shevchenko, Alexander",45.0,"Bublik, Alexander",23.0,2.0,"Bublik, Alexander"
15,11998456,"Shevchenko, Alexander",45.0,"Bublik, Alexander",21.0,2.0,"Bublik, Alexander"
16,11998457,"Rune, Holger",7.0,"Ćorić, Borna",31.0,2.0,"Ćorić, Borna"
17,11998458,"Auger-Aliassime, Felix",29.0,"Bublik, Alexander",21.0,2.0,"Bublik, Alexander"
18,11998459,"Rune, Holger",7.0,"Llamas Ruiz, Pablo",151.0,1.0,"Rune, Holger"
19,11998663,"Jasika, Omar",227.0,"Bolt, Alex",264.0,1.0,"Jasika, Omar"
20,11998664,"Bolt, Alex",262.0,"Uchiyama, Yasutaka",248.0,1.0,"Bolt, Alex"
21,11998664,"Bolt, Alex",262.0,"Uchiyama, Yasutaka",245.0,1.0,"Bolt, Alex"
22,11998664,"Bolt, Alex",264.0,"Uchiyama, Yasutaka",248.0,1.0,"Bolt, Alex"
23,11998664,"Bolt, Alex",264.0,"Uchiyama, Yasutaka",245.0,1.0,"Bolt, Alex"
24,11998666,"Saville, Luke",295.0,"Imai, Shintaro",644.0,2.0,"Imai, Shintaro"
25,11998667,"Uchiyama, Yasutaka",248.0,"Polmans, Marc",168.0,1.0,"Uchiyama, Yasutaka"
26,11998670,"Moriya, Hiroki",350.0,"Bolt, Alex",262.0,2.0,"Bolt, Alex"
27,11998671,"Jasika, Omar",225.0,"Sweeny, Dane",202.0,1.0,"Jasika, Omar"
28,11998672,"Imai, Shintaro",644.0,"Sekulic, Philip",265.0,1.0,"Imai, Shintaro"
29,11998673,"Jasika, Omar",225.0,"Imai, Shintaro",644.0,1.0,"Jasika, Omar"
30,11998674,"Saville, Luke",295.0,"Jones, Hayden",1057.0,1.0,"Saville, Luke"
31,11998675,"Hijikata, Rinky",79.0,"Jasika, Omar",225.0,2.0,"Jasika, Omar"
32,11998676,"Noguchi, Rio",333.0,"Sweeny, Dane",202.0,2.0,"Sweeny, Dane"
33,11998772,"Vandecasteele, Quinn",566.0,"Krueger, Mitchell",293.0,1.0,"Vandecasteele, Quinn"
34,11998773,"Kypson, Patrick",144.0,"Quinn, Ethan",291.0,1.0,"Kypson, Patrick"
35,11998774,"Duckworth, James",108.0,"Maloney, Patrick",841.0,1.0,"Duckworth, James"
36,11998775,"Kudla, Denis",178.0,"Quinn, Ethan",287.0,2.0,"Quinn, Ethan"
37,11998775,"Kudla, Denis",178.0,"Quinn, Ethan",291.0,2.0,"Quinn, Ethan"
38,11998775,"Kudla, Denis",169.0,"Quinn, Ethan",287.0,2.0,"Quinn, Ethan"
39,11998775,"Kudla, Denis",169.0,"Quinn, Ethan",291.0,2.0,"Quinn, Ethan"
40,11998776,"Sandgren, Tennys",270.0,"Kudla, Denis",178.0,2.0,"Kudla, Denis"
41,11998776,"Sandgren, Tennys",270.0,"Kudla, Denis",169.0,2.0,"Kudla, Denis"
42,11998776,"Sandgren, Tennys",274.0,"Kudla, Denis",178.0,2.0,"Kudla, Denis"
43,11998776,"Sandgren, Tennys",274.0,"Kudla, Denis",169.0,2.0,"Kudla, Denis"
44,11998777,"Quinn, Ethan",287.0,"Kwiatkowski, Thai-Son",291.0,1.0,"Quinn, Ethan"
45,11998777,"Quinn, Ethan",287.0,"Kwiatkowski, Thai-Son",294.0,1.0,"Quinn, Ethan"
46,11998777,"Quinn, Ethan",291.0,"Kwiatkowski, Thai-Son",291.0,1.0,"Quinn, Ethan"
47,11998777,"Quinn, Ethan",291.0,"Kwiatkowski, Thai-Son",294.0,1.0,"Quinn, Ethan"
48,11998778,"Duckworth, James",108.0,"Kypson, Patrick",150.0,2.0,"Kypson, Patrick"
49,11998778,"Duckworth, James",108.0,"Kypson, Patrick",144.0,2.0,"Kypson, Patrick"
50,11998778,"Duckworth, James",98.0,"Kypson, Patrick",150.0,2.0,"Kypson, Patrick"
51,11998778,"Duckworth, James",98.0,"Kypson, Patrick",144.0,2.0,"Kypson, Patrick"
52,11998779,"Duckworth, James",108.0,"Vandecasteele, Quinn",566.0,1.0,"Duckworth, James"
53,11998779,"Duckworth, James",108.0,"Vandecasteele, Quinn",565.0,1.0,"Duckworth, James"
54,11998779,"Duckworth, James",98.0,"Vandecasteele, Quinn",566.0,1.0,"Duckworth, James"
55,11998779,"Duckworth, James",98.0,"Vandecasteele, Quinn",565.0,1.0,"Duckworth, James"
56,11998780,"Quinn, Ethan",287.0,"Kozlov, Stefan",816.0,1.0,"Quinn, Ethan"
57,11998781,"Nava, Emilio",134.0,"Kypson, Patrick",150.0,2.0,"Kypson, Patrick"
58,11998781,"Nava, Emilio",134.0,"Kypson, Patrick",144.0,2.0,"Kypson, Patrick"
59,11998781,"Nava, Emilio",146.0,"Kypson, Patrick",150.0,2.0,"Kypson, Patrick"
60,11998781,"Nava, Emilio",146.0,"Kypson, Patrick",144.0,2.0,"Kypson, Patrick"
61,11998782,"Sandgren, Tennys",270.0,"Fanselow, Sebastian",315.0,1.0,"Sandgren, Tennys"
62,11998783,"Rubin, Noah",976.0,"Kudla, Denis",178.0,2.0,"Kudla, Denis"
63,11998784,"Kwiatkowski, Thai-Son",291.0,"Trotter, James Kent",393.0,1.0,"Kwiatkowski, Thai-Son"
64,11998785,"Cassone, Murphy",850.0,"Kypson, Patrick",150.0,2.0,"Kypson, Patrick"
65,11998786,"Nava, Emilio",134.0,"Brady, Patrick",730.0,1.0,"Nava, Emilio"
66,11999004,"Krajinović, Filip",417.0,"Nakashima, Brandon",89.0,2.0,"Nakashima, Brandon"
67,11999005,"Naw, Hazem",337.0,"Otte, Oscar",286.0,1.0,"Naw, Hazem"
68,11999006,"Rehberg, Max Hans",468.0,"Nakashima, Brandon",89.0,2.0,"Nakashima, Brandon"
69,11999006,"Rehberg, Max Hans",468.0,"Nakashima, Brandon",90.0,2.0,"Nakashima, Brandon"
70,11999006,"Rehberg, Max Hans",490.0,"Nakashima, Brandon",89.0,2.0,"Nakashima, Brandon"
71,11999006,"Rehberg, Max Hans",490.0,"Nakashima, Brandon",90.0,2.0,"Nakashima, Brandon"
