match_id,Full_name_Home,Height_Home,Full_name_Away,Height_Away,winner_code,winner
11998445,"Cazaux, Arthur",1.83,"Auger-Aliassime, Felix",1.93,2,"Auger-Aliassime, Felix"
11998446,"Lestienne, Constant",1.8,Flavio Cobolli,1.83,2,Flavio Cobolli
11998447,"Ćorić, Borna",1.88,"Martinez, Pedro",1.85,1,"Ćorić, Borna"
11998448,"Mmoh, Michael",1.88,"Muller, Alexandre",1.83,1,"Mmoh, Michael"
11998449,"Paire, Benoit",1.96,"Mayot, Harold",1.78,2,"Mayot, Harold"
11998450,"Shapovalov, Denis",1.85,"Bublik, Alexander",1.96,2,"Bublik, Alexander"
11998451,"Shevchenko, Alexander",1.85,"Barrere, Gregoire",1.83,1,"Shevchenko, Alexander"
11998452,"Ćorić, Borna",1.88,Flavio Cobolli,1.83,1,"Ćorić, Borna"
11998453,"Mayot, Harold",1.78,"Auger-Aliassime, Felix",1.93,2,"Auger-Aliassime, Felix"
11998454,"Rune, Holger",1.88,"Mmoh, Michael",1.88,1,"Rune, Holger"
11998455,"Ćorić, Borna",1.88,"Bublik, Alexander",1.96,2,"Bublik, Alexander"
11998456,"Shevchenko, Alexander",1.85,"Bublik, Alexander",1.96,2,"Bublik, Alexander"
11998457,"Rune, Holger",1.88,"Ćorić, Borna",1.88,2,"Ćorić, Borna"
11998458,"Auger-Aliassime, Felix",1.93,"Bublik, Alexander",1.96,2,"Bublik, Alexander"
11998459,"Rune, Holger",1.88,"Llamas Ruiz, Pablo",1.88,1,"Rune, Holger"
11998663,"Jasika, Omar",1.83,"Bolt, Alex",1.83,1,"Jasika, Omar"
11998664,"Bolt, Alex",1.83,"Uchiyama, Yasutaka",1.83,1,"Bolt, Alex"
11998666,"Saville, Luke",1.88,"Imai, Shintaro",1.78,2,"Imai, Shintaro"
11998667,"Uchiyama, Yasutaka",1.83,"Polmans, Marc",1.88,1,"Uchiyama, Yasutaka"
11998670,"Moriya, Hiroki",1.68,"Bolt, Alex",1.83,2,"Bolt, Alex"
11998671,"Jasika, Omar",1.83,"Sweeny, Dane",1.7,1,"Jasika, Omar"
11998672,"Imai, Shintaro",1.78,"Sekulic, Philip",1.91,1,"Imai, Shintaro"
11998673,"Jasika, Omar",1.83,"Imai, Shintaro",1.78,1,"Jasika, Omar"
11998674,"Saville, Luke",1.88,"Jones, Hayden",1.75,1,"Saville, Luke"
11998675,"Hijikata, Rinky",1.78,"Jasika, Omar",1.83,2,"Jasika, Omar"
11998676,"Noguchi, Rio",1.68,"Sweeny, Dane",1.7,2,"Sweeny, Dane"
11998772,"Vandecasteele, Quinn",1.91,"Krueger, Mitchell",1.88,1,"Vandecasteele, Quinn"
11998773,"Kypson, Patrick",1.88,"Quinn, Ethan",1.91,1,"Kypson, Patrick"
11998774,"Duckworth, James",1.83,"Maloney, Patrick",1.93,1,"Duckworth, James"
11998775,"Kudla, Denis",1.8,"Quinn, Ethan",1.91,2,"Quinn, Ethan"
11998776,"Sandgren, Tennys",1.88,"Kudla, Denis",1.8,2,"Kudla, Denis"
11998777,"Quinn, Ethan",1.91,"Kwiatkowski, Thai-Son",1.88,1,"Quinn, Ethan"
11998778,"Duckworth, James",1.83,"Kypson, Patrick",1.88,2,"Kypson, Patrick"
11998779,"Duckworth, James",1.83,"Vandecasteele, Quinn",1.91,1,"Duckworth, James"
11998780,"Quinn, Ethan",1.91,"Kozlov, Stefan",1.83,1,"Quinn, Ethan"
11998781,"Nava, Emilio",1.85,"Kypson, Patrick",1.88,2,"Kypson, Patrick"
11998782,"Sandgren, Tennys",1.88,"Fanselow, Sebastian",,1,"Sandgren, Tennys"
11998783,"Rubin, Noah",1.75,"Kudla, Denis",1.8,2,"Kudla, Denis"
