match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only,source_folder
12087266,2.0,,3,BHDsEjIb,2.0,3,1709257500,navarro-siniakova,True,20240301
12087267,1.0,7,,AmvsziA,2.0,3,1709322300,boulter-vekic,True,20240301
12087267,1.0,7,,QmvszdA,2.0,3,1709313300,boulter-vekic,False,20240302
12087269,1.0,Q,3,UuqsEaIb,2.0,3,1709334600,navarro-saville,False,20240301
12087269,1.0,Q,3,UuqrEjIb,2.0,3,1709336400,navarro-saville,False,20240302
12087270,1.0,7,Q,QmvsQZCc,1.0,3,1709239500,stakusic-vekic,True,20240301
12087271,2.0,,5,LZAysVZAb,1.0,3,1709234100,blinkova-yastremska,True,20240301
12087276,1.0,1,6,JLrsgbRb,2.0,3,1709423100,kostyuk-pegula,False,20240302
12087276,1.0,1,6,JWusgbRb,2.0,3,1709437500,kostyuk-pegula,False,20240303
12087277,1.0,4,6,APhsgbRb,2.0,3,1709344200,kostyuk-pavlyuchenkova,False,20240301
12087277,1.0,4,6,WPhsgfRb,2.0,3,1709349600,kostyuk-pavlyuchenkova,True,20240302
12087279,1.0,1,,OWrsVZAb,1.0,3,1709334900,blinkova-pegula,False,20240301
12087279,1.0,1,,JWrsVZAb,1.0,3,1709342100,blinkova-pegula,False,20240302
12087282,1.0,4,,WPhsGYPb,1.0,3,1709259300,wang-xin-pavlyuchenkova,False,20240301
12087284,2.0,3,,niAsEjIb,2.0,3,1709426100,navarro-boulter,True,20240302
12087284,2.0,3,,tiAsEjIb,2.0,3,1709424300,navarro-boulter,False,20240303
12087303,2.0,3,6,pwysYmOb,2.0,3,1709320800,wang-xiy-collins,True,20240302
12087303,2.0,3,6,pvysYmRb,2.0,3,1709332500,wang-xiy-collins,True,20240301
12087304,2.0,1,6,onLsUmOb,2.0,3,1709408700,wang-xiy-kalinina,False,20240303
12087304,2.0,1,6,onLsMmOb,2.0,3,1709407800,wang-xiy-kalinina,True,20240302
12087305,1.0,3,WC,pvysehcc,1.0,3,1709242500,volynets-collins,False,20240301
12087307,1.0,,Q,eBtuRCv,1.0,3,1709265900,vickery-schmiedlova,False,20240301
12087308,2.0,6,8,TuBbsYmOb,2.0,3,1709501400,wang-xiy-yuan,False,20240303
12087308,2.0,6,8,WuBbsYmOy,2.0,3,1709487900,wang-xiy-yuan,False,20240304
12087309,2.0,,,NVzseBt,1.0,3,1709343900,schmiedlova-sevastova,False,20240302
12087309,2.0,,,NVhneBt,1.0,3,1709332200,schmiedlova-sevastova,False,20240301
12087310,1.0,,2,NVhainj,1.0,3,1709258400,stephens-sevastova,True,20240301
12087311,1.0,8,,APvsBuBb,1.0,3,1709340600,yuan-wang,True,20240302
12087311,1.0,8,,APlsWuBb,1.0,3,1709335200,yuan-wang,True,20240301
12087313,2.0,6,,zrAsgbRb,2.0,3,1709510400,kostyuk-boulter,True,20240303
12087313,2.0,6,,ziAsgbRb,2.0,3,1709523900,kostyuk-boulter,False,20240304
12087314,2.0,1,5,onLsWfZb,1.0,3,1709318700,parry-kalinina,False,20240301
12087314,2.0,1,5,onLsTfZb,1.0,3,1709314200,parry-kalinina,False,20240302
