match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp,total_duration_raw,duration_seconds,formatted_seconds,duration_minutes,formatted_minutes,duration_hours,formatted_hours
12017963,9120.0,1984.0,75136.0,0.0,0.0,1707419271.0,86240.0,86240.0,0 days 23:57:20,86240.0,59 days 21:20:00,86240.0,3593 days 08:00:00
12017964,3676.0,2213.0,0.0,0.0,0.0,1707516585.0,5889.0,5889.0,0 days 01:38:09,5889.0,4 days 02:09:00,5889.0,245 days 09:00:00
12017965,4299.0,4079.0,0.0,0.0,0.0,1707517296.0,8378.0,8378.0,0 days 02:19:38,8378.0,5 days 19:38:00,8378.0,349 days 02:00:00
12017967,2845.0,2143.0,2738.0,0.0,0.0,1707500919.0,7726.0,7726.0,0 days 02:08:46,7726.0,5 days 08:46:00,7726.0,321 days 22:00:00
12017970,3176.0,2865.0,0.0,0.0,0.0,1707508642.0,6041.0,6041.0,0 days 01:40:41,6041.0,4 days 04:41:00,6041.0,251 days 17:00:00
12017971,3182.0,4143.0,2482.0,0.0,0.0,1707507673.0,9807.0,9807.0,0 days 02:43:27,9807.0,6 days 19:27:00,9807.0,408 days 15:00:00
12017973,1481.0,2396.0,0.0,0.0,0.0,1707413622.0,3877.0,3877.0,0 days 01:04:37,3877.0,2 days 16:37:00,3877.0,161 days 13:00:00
12017974,2407.0,1493.0,0.0,0.0,0.0,1707524971.0,3900.0,3900.0,0 days 01:05:00,3900.0,2 days 17:00:00,3900.0,162 days 12:00:00
12018501,2195.0,2400.0,0.0,0.0,0.0,1707443213.0,4595.0,4595.0,0 days 01:16:35,4595.0,3 days 04:35:00,4595.0,191 days 11:00:00
12018502,3186.0,2859.0,2714.0,0.0,0.0,1707522030.0,8759.0,8759.0,0 days 02:25:59,8759.0,6 days 01:59:00,8759.0,364 days 23:00:00
12018504,2895.0,2384.0,0.0,0.0,0.0,1707512269.0,5279.0,5279.0,0 days 01:27:59,5279.0,3 days 15:59:00,5279.0,219 days 23:00:00
12018505,1446.0,2387.0,0.0,0.0,0.0,1707528806.0,3833.0,3833.0,0 days 01:03:53,3833.0,2 days 15:53:00,3833.0,159 days 17:00:00
12018506,0.0,0.0,0.0,0.0,0.0,1707445731.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0.0,0 days 00:00:00
12018508,1848.0,2226.0,0.0,0.0,0.0,1707424464.0,4074.0,4074.0,0 days 01:07:54,4074.0,2 days 19:54:00,4074.0,169 days 18:00:00
12018511,1936.0,976.0,0.0,0.0,0.0,1707534471.0,2912.0,2912.0,0 days 00:48:32,2912.0,2 days 00:32:00,2912.0,121 days 08:00:00
12018512,2376.0,3363.0,0.0,0.0,0.0,1707418050.0,5739.0,5739.0,0 days 01:35:39,5739.0,3 days 23:39:00,5739.0,239 days 03:00:00
12018530,2136.0,3276.0,0.0,0.0,0.0,1707404509.0,5412.0,5412.0,0 days 01:30:12,5412.0,3 days 18:12:00,5412.0,225 days 12:00:00
12018531,2387.0,2902.0,0.0,0.0,0.0,1707398281.0,5289.0,5289.0,0 days 01:28:09,5289.0,3 days 16:09:00,5289.0,220 days 09:00:00
12018532,1862.0,1826.0,0.0,0.0,0.0,1707500353.0,3688.0,3688.0,0 days 01:01:28,3688.0,2 days 13:28:00,3688.0,153 days 16:00:00
12018533,1766.0,2387.0,0.0,0.0,0.0,1707487652.0,4153.0,4153.0,0 days 01:09:13,4153.0,2 days 21:13:00,4153.0,173 days 01:00:00
12018535,1854.0,2070.0,0.0,0.0,0.0,1707413886.0,3924.0,3924.0,0 days 01:05:24,3924.0,2 days 17:24:00,3924.0,163 days 12:00:00
12018536,2572.0,3123.0,0.0,0.0,0.0,1707396601.0,5695.0,5695.0,0 days 01:34:55,5695.0,3 days 22:55:00,5695.0,237 days 07:00:00
12018540,2181.0,3016.0,0.0,0.0,0.0,1707505410.0,5197.0,5197.0,0 days 01:26:37,5197.0,3 days 14:37:00,5197.0,216 days 13:00:00
12018541,3285.0,3524.0,0.0,0.0,0.0,1707420436.0,6809.0,6809.0,0 days 01:53:29,6809.0,4 days 17:29:00,6809.0,283 days 17:00:00
12018542,1627.0,2134.0,0.0,0.0,0.0,1707492733.0,3761.0,3761.0,0 days 01:02:41,3761.0,2 days 14:41:00,3761.0,156 days 17:00:00
12018574,1859.0,2596.0,3814.0,0.0,0.0,1707445461.0,8269.0,8269.0,0 days 02:17:49,8269.0,5 days 17:49:00,8269.0,344 days 13:00:00
12018575,1441.0,2003.0,2993.0,0.0,0.0,1707453473.0,6437.0,6437.0,0 days 01:47:17,6437.0,4 days 11:17:00,6437.0,268 days 05:00:00
