full_name,country,win_count
"Abbagnato, Anastasia",Italy,5
"Abduraimova, Nigina",Uzbekistan,5
"Aboian, Leonardo",Argentina,6
"Aboian, Valerio",Argentina,10
"Adams, Harrison",USA,8
"Adams, Julia",USA,1
"Added, Dan",France,4
"Adkar, Vaishnavi",India,7
"Agabigun, Sarp",Turkey,1
"Agafonov, Egor",Russia,9
"Agamenone, Franco",Italy,4
"Agostini, Simone",Italy,10
"Aguilar Cardozo, Joaquin",Uruguay,15
"Aguilar, Federico Juan",Uruguay,1
"Agwi, Michael",Ireland,12
"Ahn, Yu Jin",South Korea,1
"Ahti, Vesa",Finland,6
"Aiava, Destanee",Australia,7
"Aikawa, Mayuka",Japan,7
"Ainitdinova, Gozal",Kazakhstan,2
"Aitkulov, Arslanbek",Kazakhstan,5
"Ajduković, Duje",Croatia,4
"Aksu, Ayla",Turkey,3
"Aksu, Cengiz",Turkey,2
"Albie, Audrey",France,16
"Albot, Radu",Moldova,15
"Alcala Gurri, Max",Spain,13
"Alcaraz, Carlos",Spain,11
Alex Hernández,Mexico,2
"Alexandrova, Ekaterina",Russia,9
"Alhussein Abdel Aziz, Lamis",Egypt,5
"Alibalić, Nina",Australia,10
"Alimli, Mikail",France,3
"Alkaya, Mert",Turkey,4
"Alkotop, Mousa",Jordan,9
"Allen, Kolie",USA,1
"Altamirano, Collin",USA,4
"Altmaier, Daniel",Germany,2
"Alujas, Rodrigo",Mexico,1
"Alvarado, Patricio",Ecuador,3
"Alvarez Varona, Nicolas",Spain,5
"Alves, Carolina",Brazil,15
"Alves, Mateus",Brazil,11
"Alvisi, Eleonora",Italy,2
"Amariei, Ilinca Dalina",Romania,5
Amaury Raynel,France,4
"Ambrogi, Luciano Emanuel",Argentina,6
"Ambrosio, Silvia",Italy,3
"Amoros Ramos, Pol",Spain,5
"Andaloro, Fabrizio",Italy,5
"Anderson, Robin",USA,9
"Andrade, Andres",Ecuador,17
"Andre, Seydina",Senegal,4
"Andreazzini, Agostina",Argentina,1
"Andreescu, Stefan Adrian",Romania,9
"Andreev, Adrian",Bulgaria,10
"Andreeva, Erika",Russia,13
"Andreevskaya, Vladislava",Kyrgyzstan,6
"Andreozzi, Guido",Argentina,1
"Aney, Jessie",USA,9
"Angele, Jaimee Floyd",France,5
"Anshba, Amina",Russia,1
"Appleton, Emily",United Kingdom,9
"Arai, Aely",Japan,6
"Arakawa, Haruna",Japan,3
"Arangia, Emiliana",Colombia,1
"Arango, Emiliana",Colombia,5
"Araujo, Pedro",Portugal,9
"Arcangioli, Manon",France,6
"Arconada, Usue Maitane",USA,2
"Arias Manjón, Paula",Spain,1
"Arias, Boris",Bolivia,1
"Arifullina, Arina",Russia,4
"Arnaboldi, Federico",Italy,9
"Arnaldi, Matteo",Italy,6
"Arnaud Bailly, Gilles",Belgium,1
"Artnak, Bor",Slovenia,2
"Arutiunian, Erik",Belarus,7
"Arévalo, Marcelo",El Salvador,1
"Asrawy, Amr",Egypt,14
"Atay, Selina",Turkey,6
"Atia, Mariam",Egypt,3
"Atlangeriev, Bekkhan",Russia,4
"Atmane, Terence",France,9
"Atturu, Shria",USA,4
"Aubriot, Alexandre",France,10
"Auer, Stefanie",Austria,1
"Auger-Aliassime, Felix",Canada,6
"Avanesyan, Elina",Russia,3
"Avdeeva, Julia",Russia,9
"Ayeni, Alafia",USA,5
"Ayukawa, Mana",Japan,5
"Azarenka, Victoria",Belarus,8
"Azoides, Demetris",Greece,4
"Babos, Tímea",Hungary,6
"Bacaloni, Andrea",Italy,4
"Back, Dayeon",South Korea,4
"Badosa, Paula",Spain,2
"Baez, Sebastian",Argentina,15
"Bagnis, Facundo",Argentina,12
"Bagnolini, Daniel",Italy,8
"Baharmus, Humera",India,3
"Bai, Yan",China,9
"Bai, Zhuoxuan",China,1
"Baidaulet, Dana",Kazakhstan,4
"Bains, Naiktha",United Kingdom,4
"Bakhmutkina, Polina",Russia,1
"Bakker, Annelin",Netherlands,6
"Bakshi, Aleksandre",Georgia,7
"Balaji N., Sriram",India,1
"Baldovinetti, Guelfo",Italy,5
"Balu, Sharmada",India,2
"Balus, Irina",Slovakia,6
"Bandecchi, Susan",Switzerland,4
"Banerjee, Samir",USA,3
"Banerjee, Yubarani",India,1
"Banks, Amarni",United Kingdom,11
"Banthia, Siddhant",India,1
"Baptiste, Hailey",USA,14
"Bar Biryukov, Petr",Russia,4
"Bara, Irina",Romania,1
"Barbulescu, Bianca Elena",Romania,4
"Barnat, Jiri",Czech Republic,2
"Baroni, Niccolo",Italy,12
"Barranco Cosano, Javier",Spain,10
"Barreiros Reyes, Mateo",Brazil,5
"Barrena, Alex",Argentina,2
"Barrera Aguirre, Isabella",USA,1
"Barrere, Gregoire",France,4
"Barreto Sanchez, Diego Augusto",Spain,4
"Barrios Vera, Tomás",Chile,4
"Barroso Campos, Alberto",Spain,7
"Barry, Monique",New Zealand,8
"Bartakovics, Marcell",Hungary,5
"Bartashevich, Yaroslava",France,9
"Bartha, Panna",Hungary,4
"Barthel, Mona",Germany,11
"Bartlett, Aryana",United Kingdom,5
"Barton, Hynek",Czech Republic,6
"Bartone, Kamilla",Latvia,4
"Bartůňková, Nikola",Czech Republic,14
"Basavareddy, Nishesh",USA,4
