country,win_count
France,1115
Italy,1069
USA,959
Russia,701
Germany,597
Argentina,594
Spain,564
Japan,563
Australia,469
United Kingdom,394
Czech Republic,384
Brazil,313
Romania,300
Switzerland,271
China,267
Netherlands,250
Slovakia,227
India,203
Poland,185
Belgium,179
Ukraine,172
Bulgaria,150
Portugal,142
Croatia,136
Kazakhstan,132
Serbia,129
Turkey,128
Greece,118
Austria,116
South Korea,103
Canada,102
Hungary,99
Belarus,92
Egypt,87
Sweden,80
Chile,79
Israel,76
Lithuania,73
Colombia,72
Thailand,72
Denmark,69
Georgia,68
Slovenia,67
Chinese Taipei,63
Norway,60
Latvia,53
Finland,50
Estonia,50
Hong Kong,47
Mexico,46
New Zealand,45
Bolivia,42
Peru,40
Dominican Republic,38
South Africa,36
Ecuador,35
Uzbekistan,34
Uruguay,28
Luxembourg,27
Ireland,25
Paraguay,23
Algeria,23
Bosnia & Herzegovina,20
North Macedonia,18
Lebanon,17
Cyprus,17
Morocco,17
Vietnam,16
Moldova,15
Tunisia,15
Jordan,15
Syria,13
Monaco,12
Venezuela,12
Philippines,11
Malaysia,8
Indonesia,7
Kyrgyzstan,6
NG,5
Guadeloupe,4
Ivory Coast,4
Senegal,4
Andorra,4
Liechtenstein,4
Burundi,4
Nigeria,4
Jamaica,4
Antigua and Barbuda,3
Costa Rica,3
Malta,3
Kosovo,2
New Caledonia,2
Iran,2
Zimbabwe,2
Singapore,1
El Salvador,1
Barbados,1
